Date,Team,Division,Score,Opponent,Travel_km,Game_Status,Team_Status,Score_Type,Temp,Windspeed,Humidity,Visibility,Precipitation,Cast,Date_day,Total_Score
2019-07-21 14:00:00,London Olympians,Premiership South,0,58,16,@ Away,L,Score @ Away,63.6,12.5,72.8,26.2,0.0,partly-cloudy-day,2019-07-21,58
2019-07-07 14:30:00,London Olympians,Premiership South,10,11,0,@ Home,L,Score @ Home,62.1,7.4,77.3,15.4,0.15,rain,2019-07-07,21
2019-06-30 14:00:00,London Olympians,Premiership South,28,8,4,@ Away,W,Score @ Away,66.8,13.7,67.8,18.5,0.0,clear-day,2019-06-30,36
2019-06-23 14:30:00,London Olympians,Premiership South,68,6,0,@ Home,W,Score @ Home,64.6,11.4,73.1,14.4,0.0,partly-cloudy-day,2019-06-23,74
2019-06-16 14:30:00,London Olympians,Premiership South,7,54,0,@ Home,L,Score @ Home,58.6,17.6,78.6,18.2,0.07,rain,2019-06-16,61
2019-02-06 14:00:00,London Olympians,Premiership South,20,36,240,@ Away,L,Score @ Away,42.6,12.1,92.3,8.4,0.25,rain,2019-02-06,56
2019-05-19 14:00:00,London Olympians,Premiership South,39,13,104,@ Away,W,Score @ Away,54.3,10.1,80.5,12.0,0.0,partly-cloudy-day,2019-05-19,52
2019-12-05 14:30:00,London Olympians,Premiership South,14,21,0,@ Home,L,Score @ Home,36.6,16.5,90.2,7.8,0.01,rain,2019-12-05,35
2019-05-05 14:30:00,London Olympians,Premiership South,33,23,0,@ Home,W,Score @ Home,43.6,10.3,61.6,18.7,0.01,rain,2019-05-05,56
2019-07-28 14:30:00,Rushmoor Knights,Premiership South,0,19,102,@ Away,L,Score @ Away,64.3,13.4,73.0,25.0,0.0,partly-cloudy-day,2019-07-28,19
2019-07-21 14:00:00,Rushmoor Knights,Premiership South,0,30,154,@ Away,L,Score @ Away,62.7,11.6,77.7,24.7,0.0,partly-cloudy-day,2019-07-21,30
2019-06-23 14:30:00,Rushmoor Knights,Premiership South,6,68,104,@ Away,L,Score @ Away,64.6,11.4,73.1,14.4,0.0,partly-cloudy-day,2019-06-23,74
2019-06-16 14:00:00,Rushmoor Knights,Premiership South,28,13,0,@ Home,W,Score @ Home,57.2,20.6,83.3,17.8,0.03,rain,2019-06-16,41
2019-09-06 14:00:00,Rushmoor Knights,Premiership South,9,26,0,@ Home,L,Score @ Home,54.2,17.2,83.2,18.6,0.08,rain,2019-09-06,35
2019-02-06 14:00:00,Rushmoor Knights,Premiership South,0,70,0,@ Home,L,Score @ Home,44.5,14.9,92.8,8.8,0.09,rain,2019-02-06,70
2019-05-26 14:00:00,Rushmoor Knights,Premiership South,0,33,0,@ Home,L,Score @ Home,59.9,15.1,80.1,27.3,0.01,rain,2019-05-26,33
2019-05-19 14:00:00,Rushmoor Knights,Premiership South,13,39,0,@ Home,L,Score @ Home,54.3,10.1,80.5,12.0,0.0,partly-cloudy-day,2019-05-19,52
